Year,Sex,Age,Past or forecasted
1990,Females,68.4,Past
1991,Females,68.9,Past
1992,Females,68,Past
1993,Females,68.9,Past
1994,Females,68,Past
1995,Females,68.2,Past
1996,Females,66.9,Past
1997,Females,64.4,Past
1998,Females,62.8,Past
1999,Females,61.4,Past
2000,Females,59.2,Past
2001,Females,57.7,Past
2002,Females,55.9,Past
2003,Females,54.2,Past
2004,Females,53.3,Past
2005,Females,53.3,Past
2006,Females,53.7,Past
2007,Females,54.7,Past
2008,Females,55.8,Past
2009,Females,57.3,Past
2010,Females,59,Past
2011,Females,61,Past
2012,Females,62.9,Past
2013,Females,64.4,Past
2014,Females,65.1,Past
2015,Females,65.6,Past
2016,Females,66.4,Past
2017,Females,67.3,Past
2018,Females,67.9,Past
2019,Females,68.5,Past
2020,Females,65.9,Past
2021,Females,64.8,Past
1990,Males,60.6,Past
1991,Males,60.6,Past
1992,Males,60.3,Past
1993,Males,60.8,Past
1994,Males,60.2,Past
1995,Males,59.3,Past
1996,Males,58.3,Past
1997,Males,56.6,Past
1998,Males,55.3,Past
1999,Males,55,Past
2000,Males,53.8,Past
2001,Males,53,Past
2002,Males,51.9,Past
2003,Males,50.9,Past
2004,Males,50.5,Past
2005,Males,50.5,Past
2006,Males,50.6,Past
2007,Males,51.2,Past
2008,Males,52,Past
2009,Males,53.1,Past
2010,Males,54.6,Past
2011,Males,56.1,Past
2012,Males,57.3,Past
2013,Males,58.4,Past
2014,Males,59.1,Past
2015,Males,59.5,Past
2016,Males,60.1,Past
2017,Males,61,Past
2018,Males,61.6,Past
2019,Males,62.2,Past
2020,Males,58.9,Past
2021,Males,57.4,Past
2022,Females,67.8,Forecasted
2023,Females,68.5,Forecasted
2024,Females,68.9,Forecasted
2025,Females,69.3,Forecasted
2026,Females,69.8,Forecasted
2027,Females,70.2,Forecasted
2028,Females,70.6,Forecasted
2029,Females,71,Forecasted
2030,Females,71.4,Forecasted
2031,Females,71.7,Forecasted
2032,Females,72,Forecasted
2033,Females,72.3,Forecasted
2034,Females,72.5,Forecasted
2035,Females,72.7,Forecasted
2036,Females,73,Forecasted
2037,Females,73.2,Forecasted
2038,Females,73.4,Forecasted
2039,Females,73.7,Forecasted
2040,Females,73.9,Forecasted
2041,Females,74.1,Forecasted
2042,Females,74.3,Forecasted
2043,Females,74.4,Forecasted
2044,Females,74.6,Forecasted
2045,Females,74.8,Forecasted
2046,Females,75,Forecasted
2047,Females,75.1,Forecasted
2048,Females,75.3,Forecasted
2049,Females,75.4,Forecasted
2050,Females,75.6,Forecasted
2022,Males,61.2,Forecasted
2023,Males,62,Forecasted
2024,Males,62.4,Forecasted
2025,Males,62.9,Forecasted
2026,Males,63.4,Forecasted
2027,Males,63.9,Forecasted
2028,Males,64.3,Forecasted
2029,Males,64.8,Forecasted
2030,Males,65.2,Forecasted
2031,Males,65.5,Forecasted
2032,Males,65.8,Forecasted
2033,Males,66,Forecasted
2034,Males,66.3,Forecasted
2035,Males,66.5,Forecasted
2036,Males,66.8,Forecasted
2037,Males,67,Forecasted
2038,Males,67.2,Forecasted
2039,Males,67.5,Forecasted
2040,Males,67.7,Forecasted
2041,Males,67.9,Forecasted
2042,Males,68.1,Forecasted
2043,Males,68.3,Forecasted
2044,Males,68.5,Forecasted
2045,Males,68.6,Forecasted
2046,Males,68.8,Forecasted
2047,Males,69,Forecasted
2048,Males,69.2,Forecasted
2049,Males,69.3,Forecasted
2050,Males,69.5,Forecasted
